,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,Active_cases,Serious,Case_per_million,Deaths_per_million,Total_tests,Tests_per_million
129,Palestine,381,5,2.0,0,335.0,44.0,11.5,75.0,0.4,44876.0,8824.0
130,Haiti,358,0,20.0,0,29.0,309.0,11.5,31.0,2.0,1669.0,147.0
131,Benin,339,0,2.0,0,83.0,254.0,11.5,28.0,0.2,25471.0,2108.0
132,Isle of Man,335,0,24.0,0,285.0,26.0,9.0,3942.0,282.0,4066.0,47848.0
133,Mauritius,332,0,10.0,0,322.0,0.0,11.5,261.0,8.0,86887.0,68334.0
134,Cabo Verde,328,0,3.0,0,84.0,241.0,11.5,591.0,5.0,892.0,1607.0
135,CAR,327,0,31.5,0,13.0,314.0,11.5,68.0,6.0,3498.0,726.0
136,Montenegro,324,0,9.0,0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0
137,Vietnam,320,2,31.5,0,260.0,60.0,2.0,3.0,6.0,275000.0,2828.0
138,Ethiopia,317,11,5.0,0,113.0,199.0,11.5,3.0,0.04,57254.0,500.0
139,Madagascar,304,21,1.0,1,114.0,189.0,2.0,11.0,0.04,5670.0,205.0
140,Togo,298,0,11.0,0,99.0,188.0,11.5,36.0,1.0,12510.0,1516.0
141,Nepal,295,14,2.0,1,36.0,257.0,11.5,10.0,0.07,92440.0,3180.0
142,Rwanda,289,0,31.5,0,178.0,111.0,11.5,22.0,6.0,48239.0,3737.0
143,South Sudan,236,0,4.0,0,4.0,228.0,11.5,21.0,0.4,3356.0,300.0
144,Sao Tome and Principe,235,0,7.0,0,4.0,224.0,11.5,1075.0,32.0,175.0,800.0
145,Uganda,227,0,31.5,0,63.0,164.0,11.5,5.0,6.0,72161.0,1584.0
146,Liberia,226,3,21.0,1,120.0,85.0,11.5,45.0,4.0,40230.0,8592.0
147,Eswatini,203,1,2.0,0,73.0,128.0,11.5,175.0,2.0,4160.0,3590.0
148,French Guiana,197,0,1.0,0,125.0,71.0,11.5,662.0,3.0,40230.0,8592.0
